ID,#class
g_1-68,Firmicutes
g_5-7N15,Bacteroidetes
Abiotrophia,Firmicutes
Acidaminococcus,Firmicutes
Actinobacillus,Proteobacteria
Actinomyces,Actinobacteria
Adlercreutzia,Actinobacteria
Aggregatibacter,Proteobacteria
Akkermansia,Verrucomicrobia
Anaerococcus,Firmicutes
Anaerofustis,Firmicutes
Anaerostipes,Firmicutes
Anaerotruncus,Firmicutes
Atopobium,Actinobacteria
Bacteroides,Bacteroidetes
Bifidobacterium,Actinobacteria
Bilophila,Proteobacteria
Blautia,Firmicutes
Butyricimonas,Bacteroidetes
Campylobacter,Proteobacteria
Catenibacterium,Firmicutes
Christensenella,Firmicutes
Clostridium,Firmicutes
Collinsella,Actinobacteria
Comamonas,Proteobacteria
Coprobacillus,Firmicutes
Coprococcus,Firmicutes
Corynebacterium,Actinobacteria
Dehalobacterium,Firmicutes
Delftia,Proteobacteria
Desulfovibrio,Proteobacteria
Dialister,Firmicutes
Dorea,Firmicutes
Eggerthella,Actinobacteria
Eikenella,Proteobacteria
Enhydrobacter,Proteobacteria
Enterococcus,Firmicutes
Epulopiscium,Firmicutes
Eubacterium,Firmicutes
Fusobacterium,Fusobacteria
Haemophilus,Proteobacteria
Holdemania,Firmicutes
Lachnospira,Firmicutes
Lactobacillus,Firmicutes
Lactococcus,Firmicutes
Leptotrichia,Fusobacteria
Megamonas,Firmicutes
Megasphaera,Firmicutes
Methanobrevibacter,Euryarchaeota
Mitsuokella,Firmicutes
Moryella,Firmicutes
Mucispirillum,Deferribacteres
Neisseria,Proteobacteria
Odoribacter,Bacteroidetes
Oscillospira,Firmicutes
Oxalobacter,Proteobacteria
Paraprevotella,Bacteroidetes
Parvimonas,Firmicutes
Peptococcus,Firmicutes
Peptoniphilus,Firmicutes
Peptostreptococcus,Firmicutes
Phascolarctobacterium,Firmicutes
Porphyromonas,Bacteroidetes
Prevotella,Bacteroidetes
Proteus,Proteobacteria
Pseudomonas,Proteobacteria
Pseudoramibacter,Firmicutes
Pyramidobacter,Synergistetes
rc4-4,Firmicutes
Roseburia,Firmicutes
Rothia,Actinobacteria
Ruminococcus,Firmicutes
Schwartzia,Firmicutes
Selenomonas,Firmicutes
Slackia,Actinobacteria
Sphingomonas,Proteobacteria
Streptococcus,Firmicutes
Succinivibrio,Proteobacteria
Sutterella,Proteobacteria
TG5,Synergistetes
Turicibacter,Firmicutes
Veillonella,Firmicutes
